Peas,Peas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuts,nuts,Acorn,Almond,Beech,Brazil nut,Candlenut,Cashew,"Chestnuts, including:",Chinese chestnut,Japanese chestnut,Sweet chestnut,Chilean hazel,,Colocynth,Malabar gourd,Pepita,Ugu,"Hazelnuts, including:",Filbert,"Hickory, including:",Pecan,Shagbark hickory,Kola nut,Macadamia,Malabar almond,Malabar chestnut,Mamoncillo,Mongongo,Ogbono,Paradise nut,Pili,Pistachio,Walnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peanuts,Peanuts,peanut ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soymilk,Aburaage,Biji,Cheonggukjang,Doenjang,Doubanjiang,Douchi,Doufulu,Dougan,Edamame,Fermented bean paste,Kinako,Kinema,Kongnamul,Lufu,Mamenori,Mianchi,Miso,Miso soup,Natto,Okara,Oncom,Soybean flour,Soybean infant formula,Soybean oil,Soy milk,Soy molasses,Soy sauce,Ganjang,Soy yogurt,Sweet bean sauce,Tauco,Tempeh,Teriyaki,Textured vegetable protein,Tofu,Agedashi tofu,Fermented bean curd,Stinky tofu,Tofu skin,Bai ye,Tofu skin roll,TÆ°Æ¡ng,Yellow soybean paste,Dishes[edit],Soy sauce chicken,Dubu kimchi,Hiyayakko,Kongguksu,Mapo doufu,Soy sauce chicken,Sundubu jjigae,Tahu goreng,Yong Tau Foo,Product brands[edit],An ice cream sandwich made by Tofutti,8th Continent,Alpro,Beanfeast,Boca Burger,Little Soya,Plamil Foods,Silk ,So Good ,Tofutti,Vitasoy,Yeo Hiap Seng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tofu,tofu,Agedashi dÅçfu,Bai ye,BÃºn á»‘c,ChanpurÅ«,Doenjang jjigae,Douhua,Doufunao,Dubu gui â€“ grilled tofu rectangles[3],Dubu jjigae â€“ Korean tofu stew[4],Dubu kimchi,Fried Tofu,Ganmodoki,Hiyayakko,Huai'an Pingqiao tofu,Inarizushi,Kupat tahu,Mapo doufu,Pidan Doufu,Mun tahu,Sapo tahu,Stinky tofu,Sundubu jjigae,Taho,Tahu Aci,Tahu campur,Tahu gejrot,Tahu sumedang,Tahu goreng,Tofu skin roll,Tokwaâ€™t baboy,Yong Tau Foo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean Oil,Soybean Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm Oil,Palm Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunflower Oil,Sunflower Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapeseed Oil,Rapeseed Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive Oil,Olive Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomatoes,Bruschetta,tomato,pomodoro,caprese,Gazpacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onions & Leeks,onions,leeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Root Vegetables,Ahipa,Arracacha,Bamboo shoot,Beetroot,Burdock,Broadleaf arrowhead,Camas,Canna,Carrot,,Chinese artichoke,Daikon,Earthnut pea,Elephant foot yam,Ensete,Galangal,Ginger,Hamburg parsley,,Jerusalem artichoke,JÃ_cama,Mashua,Parsnip,Pignut,Potato,Prairie turnip,Radish,Rutabaga,Salsify,Scorzonera,Skirret,Swede,Sweet potato ,Taro,Ti,Tigernut,Turmeric,Turnip,Ulluco,Wasabi,Water caltrop,Water chestnut,YacÃ_n,Yam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicas,Horseradish,Land cress,Ethiopian mustard,Kale,Collard greens,Chinese broccoli ,Cabbage,Savoy cabbage,Brussels sprouts,Kohlrabi,Broccoli,Broccoflower,Broccoli romanesco,Cauliflower,Wild broccoli,Bok choy,Komatsuna,Mizuna,Rapini ,Choy sum ,"Chinese cabbage, napa cabbage",Turnip root; greens,Rutabaga ,Siberian kale,Canola/rapeseed,Wrapped heart mustard cabbage,"Mustard seeds, brown; greens",White mustard seeds,Black mustard seeds,Tatsoi,Wild arugula,Arugula ,Field pepperweed,Maca,Garden cress,Watercress,Radish,Daikon,Wasabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Vegetables,artichoke,Asparagus,Cardoon,Celeriac,Celery,Chives,Elephant garlic,Florence fennel,,,,Kurrat,Lemongrass,,Lotus root,Amaranth,Arugula,Beet ,Bok choy ,Borage greens,Broccoli ,Brussels sprouts,Cabbage,Catsear,Celery,Celtuce,Chaya,Chickweed,Chicory,Chinese mallow,Garland Chrysanthemum,Collard greens,Common purslane,Corn salad,Cress,Dandelion,Dill,Endive,Fat hen,Fiddlehead,Fluted pumpkin,Garden rocket,Golden samphire,Good King Henry,Grape ,Greater plantain,Kai-lan ,Kale,Komatsuna,Kuka,Lagos bologi,Lamb's lettuce,Lamb's quarters,Land cress,Lettuce,Lizard's tail,Malabar spinach,Mallow,Melokhia,Miner's lettuce ,Mizuna greens,Mustard,Napa cabbage,New Zealand Spinach,Orache,Pak choy ,Paracress,Pea ,Poke,Radicchio,Rapini ,Samphire,Sculpit / Stridolo,Sea beet,Sea kale,Shepherd's purse,Sierra Leone bologi,Soko,Sorrel,Sour cabbage,Spinach,Summer purslane,Swiss chard,Tatsoi,Turnip greens,Watercress,Water spinach,Wheatgrass,Yarrow,Yao choy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Fruit,Pomelo,Citron,mandarin,lime,kumquat,lemon,,grapefruit,tangerine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bananas,Bananas,banana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apples,apples,apple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berries & Grapes,grapes,grapes,berry,berries,Elderberry,Currant,Barberry,Honeysuckle ,Oregon grape,Nannyberry,Gooseberry,Mayapple,Sea buckthorne,Black currant,Red currant,Ligonberry,Cranberry,Bearberry,Crowberry,Blueberry,Berries from the strawberry tree ,Huckleberries,Bilberry,Whortleberry,Juniper berries,Cowberry,Foxberry,Mountain cranberry,Red chokeberry,Black chokeberry,Purple chokeberry,Raspberry,Strawberry,Blackberry,Dewberry,Salmonberry,Bayberry,Boysenberry,Mulberry,Cloudberry,Chehalem berry,Loganberry,Thimbleberry,Wineberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wine,wine,chardonnay,pinot,zinfandel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Fruit,fruit,,apricot,avocado,,,cantaloupe,cherry,citron,,coconut,date,fig,grape,guava,kiwi,lemon,lime,mango,melon,nectarine,,papaya,peach,pear,pineapple,plum,prune,raisin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bovine Meat ,beef,sirloin,brisket,galbi,Filet mignon,Tri-tip,,,Bratwurst,,Carpaccio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bovine Meat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb & Mutton,lamb ,mutton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pig Meat,pork,bacon,cha siu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poultry Meat,chicken,turkey,goose,pollo,Duck,drumstick,Pigeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,milk,cream,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,asadero,asiago,blue,brick,brie,burrata,butterkase,camembert,cheddar,colby,cotija,edam,emmentaler,feta,fontina,gorgonzola,gouda,havarti,kasseri,limburger,mascarpone,mozzarella,muenster,parmesan,pepato,provolone,ricotta,romano,swiss,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggs,Eggs,egg,custard,flan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish ,anchovy,bass,carp,cod,flounder,grouper,haddock,halibut,herring,mackerel,marlin,mullet,perch,pollock,salmon,sardine,scallop,shark,snapper,sole,tilapia,trout,tuna,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustaceans ,Crab ,Crayfish,prawn,Lobster ,Shrimp ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,irene3,irene3irene3irene3irene3irene3irene3irene3irene3irene3irene3irene3irene3irene3irene3irene3
